"구별","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"",4,3,6,10,4,1,2,11,1,11,0,5
"",6,0,4,9,2,3,15,3,16,8,3,5
"",0,1,0,0,0,5,0,6,6,0,0,0
"",7,12,6,40,15,23,10,6,7,13,9,3
"",0,0,5,0,0,0,1,0,0,0,0,0
"",6,1,11,1,2,5,1,5,4,5,2,4
"",1,3,4,5,4,1,8,3,0,1,2,3
"",0,0,0,0,3,1,2,0,0,0,5,3
"",2,2,3,12,0,3,8,7,6,16,4,4
"",0,1,0,0,0,0,0,0,0,1,0,6
"",1,0,0,0,0,0,0,0,0,7,1,0
"",0,0,0,1,0,0,0,0,0,0,0,0
"",1,0,1,1,3,6,2,0,4,1,7,5
"",30,14,14,17,11,22,22,22,13,18,21,36
"",0,0,2,0,2,1,1,2,0,4,1,0
"",1,0,0,3,5,1,3,2,2,2,0,1
"",0,0,3,2,2,0,0,3,3,0,0,0
"",3,2,2,19,1,5,5,4,3,6,3,2
"",0,0,0,2,0,4,0,0,0,0,0,0
"",6,8,8,1,7,3,21,3,6,1,4,9
"",1,2,0,1,2,3,6,2,1,0,0,5
"",0,0,1,2,1,0,5,0,0,3,0,6
"",5,0,0,8,1,4,4,3,3,2,0,2
"",0,6,2,4,0,2,0,1,0,1,0,0
"",0,1,0,4,0,2,0,0,3,0,1,1
"",1,0,8,4,1,3,3,0,1,0,2,0
"",0,0,1,0,2,1,0,0,0,1,0,0
"",2,2,11,9,0,1,6,4,2,4,2,0
"",7,6,6,12,0,1,1,3,4,0,4,0
"",1,0,1,1,0,0,0,0,6,0,0,1
"",0,0,1,2,3,3,1,1,3,1,0,5
"",0,0,3,1,0,3,0,3,1,0,0,4
"",0,0,1,0,0,0,0,0,0,0,0,0
"",2,4,5,1,1,0,4,4,0,1,1,1
"",1,0,1,0,1,0,1,0,0,2,1,1
"",4,5,0,3,1,4,5,1,4,11,2,4
"",0,5,3,6,5,2,3,5,3,2,0,1
"",0,0,0,3,2,0,0,0,0,2,0,1
"",2,5,10,1,5,3,7,15,1,13,6,4
"",15,7,8,6,6,7,3,2,0,5,1,1
"",2,0,0,2,0,0,0,1,2,0,0,1
"",1,1,1,0,0,0,0,4,0,0,0,0
"",34,15,32,14,14,27,9,18,7,12,16,29
"",2,0,3,3,1,2,8,1,12,3,2,0
"",3,9,1,3,0,0,3,2,3,3,1,9
"",2,1,1,6,0,4,4,0,0,3,2,0
"",4,0,0,1,2,1,1,18,4,4,2,9
"",4,0,0,0,0,0,0,0,0,0,1,0
"",2,4,0,2,0,1,0,0,1,5,1,0
"",0,0,0,0,0,0,0,0,1,0,0,0
"",1,0,1,3,2,2,2,0,4,0,0,0
"",17,8,10,16,7,40,39,39,22,18,18,31
"",6,0,5,1,0,1,0,3,2,1,0,4
"",9,2,2,6,0,1,0,3,12,4,1,1
"",3,3,0,2,1,0,1,5,4,4,4,8
"",5,3,6,7,0,5,7,7,2,0,0,1
"",1,0,0,1,0,0,1,0,4,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,2
"",0,0,0,1,0,0,0,2,0,0,0,1
"",5,8,2,4,4,3,1,3,3,1,0,1
"",0,0,0,0,0,1,0,0,0,0,0,0
중구,1,0,1,0,1,2,0,3,2,1,1,0
"",2,1,1,0,4,0,3,3,0,4,2,3
"",5,0,0,0,0,0,0,0,0,0,0,1
"",0,0,0,0,1,7,1,0,0,0,1,3
"",1,0,0,0,0,4,3,1,0,0,0,2
"",1,1,1,0,0,1,0,0,1,3,1,4
"",4,3,8,8,2,7,2,2,1,3,4,6
"",0,1,0,0,0,4,6,0,0,0,0,0
"",0,0,0,2,0,2,2,6,0,0,0,6
"",0,0,0,0,0,0,0,0,1,0,0,0
"",12,0,1,15,1,6,10,14,9,0,0,19
"",6,0,1,0,2,0,3,0,2,0,1,0
"",2,6,0,0,1,3,0,0,2,0,3,0
"",2,0,6,2,3,1,0,3,1,3,0,0
"",1,0,0,0,2,0,0,0,0,2,0,0
"",3,6,8,2,1,0,2,6,1,3,1,3
"",0,2,0,0,1,0,0,0,0,2,8,0
"",0,0,0,4,3,1,0,0,1,1,5,1
"",1,0,1,0,3,4,0,1,0,0,0,2
"",0,0,1,0,2,0,0,0,0,0,0,8
"",0,1,0,0,0,1,0,0,3,0,0,1
"",1,4,2,8,6,2,1,1,3,0,0,10
"",1,3,0,2,15,1,0,0,0,0,0,4
"",0,1,0,1,0,4,0,2,0,0,2,0
"",0,0,0,0,0,1,1,0,0,0,0,0
"",2,1,1,4,3,1,1,3,0,6,1,0
"",0,0,5,5,1,4,1,0,2,0,1,0
"",1,3,0,4,1,0,1,3,0,0,0,0
"",2,0,0,0,12,0,0,0,2,0,1,0
"",0,1,0,8,12,0,2,0,0,1,1,3
"",66,40,33,25,66,50,53,51,35,30,41,76
"",1,2,1,0,0,1,2,3,0,0,1,1
"",0,0,0,0,6,0,1,1,1,0,1,0
"",0,0,3,2,1,1,1,4,5,6,7,7
"",0,8,6,0,1,1,2,8,1,1,4,2
"",0,6,6,1,3,1,1,0,0,0,0,2
"",3,10,5,1,8,4,0,2,1,4,4,2
"",0,1,0,0,9,5,3,6,6,2,2,6
"",0,0,2,3,2,1,1,0,7,2,0,1
"",1,2,2,1,2,1,0,0,1,6,1,4
"",1,0,19,5,2,2,7,0,5,5,1,5
"",0,1,5,2,5,1,0,1,2,0,0,0
