"Column1","월","자치구","진동_x(g)","진동_y(g)","진동_z(g)"
121,"05월",은평구,0.02642974870869146,0.056513206022703516,1.0382068820603403
122,"05월",종로구,0.028533228780645455,0.05059237686604309,1.0285970756046798
123,"05월",중구,0.024175653055470907,0.06414715701168117,1.029681892707015
124,"05월",중랑구,0.03355217121768105,0.06411232842070795,1.0298555773268923
125,"06월",강남구,0.033336358013783984,0.06984974358147061,1.0236190687778686
126,"06월",강동구,0.027357076747654682,0.05477122845243819,1.013579250954991
127,"06월",강북구,0.026612160035313467,0.0534878965651891,1.0239039216073647
128,"06월",강서구,0.027220848672461558,0.06237761826799549,1.0294120378982412
129,"06월",관악구,0.027520153753294682,0.06536537243415354,1.0202506904383568
130,"06월",광진구,0.02367421045397746,0.05647844384685702,1.0184183865666794
131,"06월",구로구,0.026977797197583527,0.07122588480714034,1.028538051412327
132,"06월",금천구,0.02552588187345413,0.061742122050897526,1.0293885665890774
133,"06월",노원구,0.03201343104766311,0.0651169937037608,1.0164014120792528
134,"06월",도봉구,0.0291591659387075,0.07814093461178145,1.0163531259062442
135,"06월",동대문구,0.031419795924523236,0.05513108262773665,1.035639480728845
136,"06월",동작구,0.02462375559608964,0.06585156737716504,1.0147045376452237
137,"06월",마포구,0.029834879863457977,0.06644144169755965,1.0254346438561257
138,"06월",서대문구,0.03262676980175379,0.05988792751106631,1.0235615589919447
139,"06월",서초구,0.028217322676484097,0.06583512770117048,1.0208609053696203
140,"06월",성동구,0.027836627606769183,0.06179790763686817,1.0209200190136585
141,"06월",성북구,0.021223751193527873,0.060844983597782926,1.0233513847962297
142,"06월",송파구,0.029238971812715626,0.060681390377332875,1.0243967278487842
143,"06월",양천구,0.0296747017593684,0.05825620591525553,1.0234492484588866
144,"06월",영등포구,0.028484782565123185,0.05967925236472091,1.0302316333908923
145,"06월",용산구,0.024219118030199563,0.06297945672149764,1.020647972824156
146,"06월",은평구,0.02888807900175031,0.05795920279011501,1.0305740176921507
147,"06월",종로구,0.030519065188279605,0.053764082536799644,1.0228374431140217
148,"06월",중구,0.028442478041381263,0.06835053319266879,1.024704737584033
149,"06월",중랑구,0.03621870460561159,0.06748099313961312,1.0228752918973993
150,"07월",강남구,0.0365774894827649,0.06866935755995746,1.0232358843688947
151,"07월",강동구,0.02780392566927935,0.054918218503189266,1.0126407927618641
152,"07월",강북구,0.027497919322489968,0.05363656316100991,1.0230759292601792
153,"07월",강서구,0.028187640426596685,0.06491134008612638,1.0272214477824475
154,"07월",관악구,0.02901602582934505,0.06470497638000582,1.0188427433255836
155,"07월",광진구,0.023022971728357277,0.05640772285447574,1.016821422414807
156,"07월",구로구,0.026629418197998387,0.07152520492196149,1.0253246422307871
157,"07월",금천구,0.027576501846892407,0.06426314248317695,1.0304628102805768
158,"07월",노원구,0.03401082931602168,0.06739593029049552,1.0161840671028537
159,"07월",도봉구,0.030444370507030194,0.07950509592412762,1.0160265898647896
