"구별","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"",0,1,1,1,0,0,1,0,0,0
"",0,1,2,0,0,0,2,0,0,0
"",15,29,25,25,32,39,17,23,19,7
"",6,0,13,18,15,1,6,4,2,4
"",0,0,2,1,0,3,1,3,1,8
"",9,0,3,8,2,2,0,0,0,0
"",6,7,0,1,1,4,2,2,0,1
"",4,0,1,0,1,1,0,0,0,2
"",6,4,5,2,3,8,2,0,0,0
"",0,1,0,0,0,1,0,0,2,1
"",1,0,0,0,1,1,0,1,0,0
"",35,57,19,39,38,18,27,17,13,16
"",3,0,0,1,1,1,0,1,7,0
"",2,2,2,5,10,1,1,6,3,5
"",1,4,0,7,6,13,3,6,2,4
"",15,15,9,4,5,6,4,1,7,6
"",0,0,0,1,3,0,0,0,0,0
"",0,2,1,0,0,0,0,0,0,0
"",0,1,4,0,1,0,0,1,0,0
"",0,1,1,3,0,0,2,0,4,2
"",0,4,0,0,1,3,2,1,0,0
중구,0,0,1,0,2,0,1,0,8,1
"",2,0,4,0,4,4,1,0,2,0
"",1,0,0,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,2,0
"",1,0,0,0,1,0,0,0,0,1
"",1,2,2,1,1,5,0,0,3,4
"",9,5,6,7,3,11,2,4,7,6
"",0,1,1,0,0,0,0,5,0,2
"",0,0,1,1,0,0,0,0,0,0
"",0,1,0,4,0,1,0,0,0,1
"",1,6,12,2,16,6,1,2,1,10
"",0,0,0,0,0,1,0,0,0,0
"",0,0,1,0,0,1,1,0,0,1
"",0,0,3,4,2,6,0,7,0,0
"",1,0,0,2,7,4,5,0,0,6
"",1,0,0,6,1,0,0,0,0,3
"",10,1,8,6,0,4,3,2,1,4
"",0,0,8,0,0,0,0,0,0,3
"",2,1,3,1,3,1,1,0,4,5
"",0,0,1,3,5,0,1,0,0,2
"",0,0,0,0,0,11,0,0,13,0
"",0,0,9,2,1,3,2,2,0,2
"",2,3,0,1,7,4,0,1,1,7
"",0,0,3,3,0,0,0,6,0,3
"",0,0,5,0,1,0,0,0,0,0
"",13,4,6,5,1,3,0,7,1,1
"",1,2,6,3,11,8,0,0,0,1
"",0,1,0,0,4,0,0,0,0,3
"",4,0,0,0,2,0,0,0,1,0
"",2,4,0,8,3,0,3,0,5,2
"",101,92,78,100,78,70,64,36,35,73
"",0,3,1,2,1,0,2,0,1,2
"",0,0,0,1,0,2,0,0,0,0
"",1,0,1,3,2,4,2,3,1,2
"",8,0,1,14,5,2,10,5,2,0
"",0,15,2,1,4,0,2,0,0,2
"",1,3,1,7,3,1,3,2,8,2
"",7,5,7,3,5,6,2,2,3,0
"",10,0,7,0,1,2,2,0,0,1
"",1,0,3,0,9,5,1,1,0,5
"",6,0,0,4,4,8,3,6,8,7
"",1,2,8,5,0,0,0,1,2,5
"",0,1,0,0,1,0,3,0,0,1
"",1,0,1,0,0,0,0,0,0,0
"",3,0,6,3,0,0,0,2,0,0
"",0,0,2,0,1,1,0,1,0,1
"",0,0,0,0,0,2,0,0,0,0
"",0,0,0,0,0,4,0,0,0,0
"",5,2,3,5,7,1,0,2,0,1
"",7,25,9,10,2,13,3,10,10,9
"",0,1,0,0,0,0,0,0,2,0
"",0,0,0,0,1,0,0,2,1,2
"",2,13,8,1,6,9,2,4,0,2
"",4,0,0,0,6,5,6,3,0,0
"",0,0,0,0,0,0,0,0,0,4
"",10,3,5,6,11,18,12,13,4,11
"",4,0,9,0,0,5,2,2,2,4
"",21,19,28,25,15,18,13,22,19,14
"",0,0,0,0,0,3,0,0,0,0
"",5,0,3,5,8,11,1,2,4,2
"",10,1,6,9,2,2,3,4,4,5
"",23,17,27,15,23,16,20,13,10,12
"",15,8,11,8,8,6,5,6,2,11
"",3,9,3,5,1,4,3,3,4,5
중랑구,77,59,87,107,114,73,82,25,41,45
"",219,107,178,155,175,125,139,104,95,156
"",44,28,47,37,67,32,51,51,34,33
"",90,33,72,79,93,79,43,33,20,48
"",43,35,54,63,71,52,89,45,57,38
"",110,36,67,46,52,30,49,42,18,27
