gu,year,month,monthly_rain_mm
은평구,2023,3,12.5
은평구,2023,4,86.0
은평구,2023,5,120.5
은평구,2023,6,163.5
은평구,2023,7,415.5
은평구,2023,8,239.5
은평구,2023,9,105.5
은평구,2023,10,27.0
은평구,2023,11,77.5
은평구,2023,12,72.0
은평구,2024,1,12.5
은평구,2024,2,51.5
은평구,2024,3,8.5
은평구,2024,4,28.5
은평구,2024,5,113.5
은평구,2024,6,75.5
은평구,2024,7,511.0
은평구,2024,8,140.0
은평구,2024,9,126.0
은평구,2024,10,57.5
은평구,2024,11,23.5
은평구,2024,12,4.0
종로구,2022,1,3.0
종로구,2022,2,4.5
종로구,2022,3,288.0
종로구,2022,4,55.5
종로구,2022,5,15.0
종로구,2022,6,769.5
종로구,2022,7,798.0
종로구,2022,8,1708.5
종로구,2022,9,631.5
종로구,2022,10,375.0
종로구,2022,11,223.5
종로구,2022,12,27.0
종로구,2023,1,45.5
종로구,2023,2,1.0
종로구,2023,3,10.5
종로구,2023,4,96.5
종로구,2023,5,158.0
종로구,2023,6,188.5
종로구,2023,7,426.0
종로구,2023,8,296.5
종로구,2023,9,136.0
종로구,2023,10,28.0
종로구,2023,11,70.5
종로구,2023,12,86.0
종로구,2024,1,16.5
종로구,2024,2,71.5
종로구,2024,3,11.5
종로구,2024,4,35.0
종로구,2024,5,119.5
종로구,2024,6,119.5
종로구,2024,7,556.0
종로구,2024,8,61.5
종로구,2024,9,131.5
종로구,2024,10,53.5
종로구,2024,11,23.0
종로구,2024,12,4.0
중구,2022,1,3.0
중구,2022,2,7.5
중구,2022,3,285.0
중구,2022,4,60.0
중구,2022,5,18.0
중구,2022,6,1221.0
중구,2022,7,813.0
중구,2022,8,1836.0
중구,2022,9,631.5
중구,2022,10,372.0
중구,2022,11,208.5
중구,2022,12,25.5
중구,2023,1,40.5
중구,2023,2,1.0
중구,2023,3,9.0
중구,2023,4,91.0
중구,2023,5,159.5
중구,2023,6,146.0
중구,2023,7,420.0
중구,2023,8,306.5
중구,2023,9,147.5
중구,2023,10,27.0
중구,2023,11,80.0
중구,2023,12,75.5
중구,2024,1,14.0
중구,2024,2,65.5
중구,2024,3,11.0
중구,2024,4,32.5
중구,2024,5,119.0
중구,2024,6,115.0
중구,2024,7,584.0
중구,2024,8,47.0
중구,2024,9,139.5
중구,2024,10,58.5
중구,2024,11,28.5
중구,2024,12,4.0
중랑구,2022,1,3.0
중랑구,2022,2,9.0
중랑구,2022,3,172.5
중랑구,2022,4,21.0
중랑구,2022,5,16.5
중랑구,2022,6,1282.5
중랑구,2022,7,732.0
중랑구,2022,8,1557.0
중랑구,2022,9,583.5
중랑구,2022,10,432.0
중랑구,2022,11,208.5
중랑구,2022,12,16.5
중랑구,2023,1,42.0
중랑구,2023,2,0.5
중랑구,2023,3,0.0
중랑구,2023,4,48.5
중랑구,2023,5,133.0
중랑구,2023,6,172.5
중랑구,2023,7,470.5
중랑구,2023,8,271.0
중랑구,2023,9,117.5
중랑구,2023,10,39.0
중랑구,2023,11,91.5
중랑구,2023,12,72.0
중랑구,2024,1,12.0
중랑구,2024,2,58.5
중랑구,2024,3,15.5
중랑구,2024,4,28.5
중랑구,2024,5,102.5
중랑구,2024,6,115.0
중랑구,2024,7,590.0
중랑구,2024,8,84.0
중랑구,2024,9,140.5
중랑구,2024,10,52.5
중랑구,2024,11,24.0
중랑구,2024,12,1.5
