gu,date,daily_rain_mm,year,month
강남구,2022-12-25,0.0,2022,12
강남구,2022-12-26,0.0,2022,12
강남구,2022-12-27,0.0,2022,12
강남구,2022-12-28,0.0,2022,12
강남구,2022-12-29,0.0,2022,12
강남구,2022-12-30,0.0,2022,12
강남구,2022-12-31,0.0,2022,12
강남구,2023-01-02,0.0,2023,1
강남구,2023-01-03,0.0,2023,1
강남구,2023-01-04,0.0,2023,1
강남구,2023-01-05,0.0,2023,1
강남구,2023-01-06,0.5,2023,1
강남구,2023-01-07,3.0,2023,1
강남구,2023-01-08,0.0,2023,1
강남구,2023-01-09,0.0,2023,1
강남구,2023-01-10,0.0,2023,1
강남구,2023-01-11,0.0,2023,1
강남구,2023-01-12,0.0,2023,1
강남구,2023-01-13,36.5,2023,1
강남구,2023-01-14,2.0,2023,1
강남구,2023-01-15,4.5,2023,1
강남구,2023-01-16,0.0,2023,1
강남구,2023-01-17,0.0,2023,1
강남구,2023-01-18,0.0,2023,1
강남구,2023-01-19,1.0,2023,1
강남구,2023-01-20,0.0,2023,1
강남구,2023-01-21,0.0,2023,1
강남구,2023-01-22,0.0,2023,1
강남구,2023-01-23,0.0,2023,1
강남구,2023-01-24,0.0,2023,1
강남구,2023-01-25,0.0,2023,1
강남구,2023-01-26,0.5,2023,1
강남구,2023-01-27,0.0,2023,1
강남구,2023-01-28,0.5,2023,1
강남구,2023-01-29,0.0,2023,1
강남구,2023-01-30,0.0,2023,1
강남구,2023-01-31,0.0,2023,1
강남구,2023-02-01,0.0,2023,2
강남구,2023-02-02,0.0,2023,2
강남구,2023-02-03,0.0,2023,2
강남구,2023-02-04,0.0,2023,2
강남구,2023-02-05,0.0,2023,2
강남구,2023-02-06,0.0,2023,2
강남구,2023-02-07,0.0,2023,2
강남구,2023-02-08,0.0,2023,2
강남구,2023-02-09,0.0,2023,2
강남구,2023-02-10,0.5,2023,2
강남구,2023-02-11,0.0,2023,2
강남구,2023-02-12,0.0,2023,2
강남구,2023-02-13,0.0,2023,2
강남구,2023-02-14,0.0,2023,2
강남구,2023-02-15,0.0,2023,2
강남구,2023-02-16,0.0,2023,2
강남구,2023-02-17,0.0,2023,2
강남구,2023-02-18,0.0,2023,2
강남구,2023-02-19,0.5,2023,2
강남구,2023-02-20,0.0,2023,2
강남구,2023-02-21,0.0,2023,2
강남구,2023-02-22,0.0,2023,2
강남구,2023-02-23,0.0,2023,2
강남구,2023-02-24,0.0,2023,2
강남구,2023-02-25,0.0,2023,2
강남구,2023-02-26,0.0,2023,2
강남구,2023-02-27,0.0,2023,2
강남구,2023-02-28,0.0,2023,2
강남구,2023-03-01,0.0,2023,3
강남구,2023-03-02,0.0,2023,3
강남구,2023-03-03,0.0,2023,3
강남구,2023-03-04,0.0,2023,3
강남구,2023-03-05,0.0,2023,3
강남구,2023-03-06,0.0,2023,3
강남구,2023-03-07,0.0,2023,3
강남구,2023-03-08,0.0,2023,3
강남구,2023-03-09,3.5,2023,3
강남구,2023-03-10,0.0,2023,3
강남구,2023-03-11,0.0,2023,3
강남구,2023-03-12,5.0,2023,3
강남구,2023-03-13,0.0,2023,3
강남구,2023-03-14,0.0,2023,3
강남구,2023-03-15,0.0,2023,3
강남구,2023-03-16,0.0,2023,3
강남구,2023-03-17,0.0,2023,3
강남구,2023-03-18,0.0,2023,3
강남구,2023-03-19,0.0,2023,3
강남구,2023-03-20,0.0,2023,3
강남구,2023-03-21,0.0,2023,3
강남구,2023-03-22,0.0,2023,3
강남구,2023-03-23,0.0,2023,3
강남구,2023-03-24,0.0,2023,3
강남구,2023-03-25,0.0,2023,3
강남구,2023-03-26,0.0,2023,3
강남구,2023-03-27,0.0,2023,3
강남구,2023-03-28,0.0,2023,3
강남구,2023-03-29,0.0,2023,3
강남구,2023-03-30,0.0,2023,3
강남구,2023-03-31,0.0,2023,3
강남구,2023-04-01,0.0,2023,4
강남구,2023-04-02,0.0,2023,4
강남구,2023-04-03,0.0,2023,4
강남구,2023-04-04,8.0,2023,4
강남구,2023-04-05,44.0,2023,4
강남구,2023-04-06,3.5,2023,4
강남구,2023-04-07,0.0,2023,4
강남구,2023-04-08,0.0,2023,4
강남구,2023-04-09,0.0,2023,4
강남구,2023-04-10,0.0,2023,4
강남구,2023-04-11,0.5,2023,4
강남구,2023-04-12,0.0,2023,4
강남구,2023-04-13,0.0,2023,4
강남구,2023-04-14,0.0,2023,4
강남구,2023-04-15,1.5,2023,4
강남구,2023-04-16,0.0,2023,4
강남구,2023-04-17,0.0,2023,4
강남구,2023-04-18,1.0,2023,4
강남구,2023-04-19,0.0,2023,4
강남구,2023-04-20,0.0,2023,4
강남구,2023-04-21,0.0,2023,4
강남구,2023-04-22,0.0,2023,4
강남구,2023-04-23,0.0,2023,4
강남구,2023-04-24,0.0,2023,4
강남구,2023-04-25,0.5,2023,4
강남구,2023-04-26,0.0,2023,4
강남구,2023-04-27,0.0,2023,4
강남구,2023-04-28,1.5,2023,4
강남구,2023-04-29,23.5,2023,4
강남구,2023-04-30,1.0,2023,4
강남구,2023-05-01,0.0,2023,5
강남구,2023-05-02,0.0,2023,5
강남구,2023-05-03,0.0,2023,5
강남구,2023-05-04,0.0,2023,5
강남구,2023-05-05,23.0,2023,5
강남구,2023-05-06,52.5,2023,5
강남구,2023-05-07,0.0,2023,5
강남구,2023-05-08,0.0,2023,5
강남구,2023-05-09,0.0,2023,5
강남구,2023-05-10,0.0,2023,5
강남구,2023-05-11,0.0,2023,5
강남구,2023-05-12,0.0,2023,5
강남구,2023-05-13,0.0,2023,5
강남구,2023-05-14,0.0,2023,5
강남구,2023-05-15,0.0,2023,5
강남구,2023-05-16,0.0,2023,5
강남구,2023-05-17,0.0,2023,5
강남구,2023-05-18,5.5,2023,5
강남구,2023-05-19,0.0,2023,5
강남구,2023-05-20,0.0,2023,5
강남구,2023-05-21,0.0,2023,5
강남구,2023-05-22,0.0,2023,5
강남구,2023-05-23,0.0,2023,5
강남구,2023-05-24,0.0,2023,5
강남구,2023-05-25,0.0,2023,5
강남구,2023-05-26,0.5,2023,5
강남구,2023-05-27,29.5,2023,5
강남구,2023-05-28,44.0,2023,5
강남구,2023-05-29,5.0,2023,5
강남구,2023-05-30,0.0,2023,5
강남구,2023-05-31,0.0,2023,5
강남구,2023-06-01,0.0,2023,6
강남구,2023-06-02,0.0,2023,6
강남구,2023-06-03,0.0,2023,6
강남구,2023-06-04,0.0,2023,6
강남구,2023-06-05,0.0,2023,6
강남구,2023-06-06,0.0,2023,6
강남구,2023-06-07,0.0,2023,6
강남구,2023-06-08,0.0,2023,6
강남구,2023-06-09,1.5,2023,6
강남구,2023-06-10,0.5,2023,6
강남구,2023-06-11,22.5,2023,6
강남구,2023-06-12,0.0,2023,6
강남구,2023-06-13,0.0,2023,6
강남구,2023-06-14,1.0,2023,6
강남구,2023-06-15,0.0,2023,6
강남구,2023-06-16,0.0,2023,6
강남구,2023-06-17,0.0,2023,6
강남구,2023-06-18,0.0,2023,6
강남구,2023-06-19,0.0,2023,6
강남구,2023-06-20,11.0,2023,6
강남구,2023-06-21,28.5,2023,6
강남구,2023-06-22,0.0,2023,6
강남구,2023-06-23,0.0,2023,6
강남구,2023-06-24,0.0,2023,6
강남구,2023-06-25,0.0,2023,6
강남구,2023-06-26,30.0,2023,6
강남구,2023-06-27,2.0,2023,6
강남구,2023-06-28,0.0,2023,6
강남구,2023-06-29,56.0,2023,6
강남구,2023-06-30,0.0,2023,6
강남구,2023-07-01,0.0,2023,7
강남구,2023-07-02,0.0,2023,7
강남구,2023-07-03,0.0,2023,7
강남구,2023-07-04,58.0,2023,7
강남구,2023-07-05,13.5,2023,7
강남구,2023-07-06,0.0,2023,7
강남구,2023-07-07,0.0,2023,7
강남구,2023-07-08,0.0,2023,7
강남구,2023-07-09,33.5,2023,7
강남구,2023-07-10,6.5,2023,7
강남구,2023-07-11,113.5,2023,7
강남구,2023-07-12,0.0,2023,7
강남구,2023-07-13,91.0,2023,7
강남구,2023-07-14,84.0,2023,7
강남구,2023-07-15,1.0,2023,7
강남구,2023-07-16,0.0,2023,7
강남구,2023-07-17,2.0,2023,7
강남구,2023-07-18,14.0,2023,7
강남구,2023-07-19,0.0,2023,7
강남구,2023-07-20,0.0,2023,7
강남구,2023-07-21,0.0,2023,7
강남구,2023-07-22,4.0,2023,7
강남구,2023-07-23,24.0,2023,7
강남구,2023-07-24,2.0,2023,7
강남구,2023-07-25,2.0,2023,7
강남구,2023-07-26,1.5,2023,7
강남구,2023-07-27,0.0,2023,7
강남구,2023-07-28,0.0,2023,7
강남구,2023-07-29,0.0,2023,7
강남구,2023-07-30,0.0,2023,7
강남구,2023-07-31,5.0,2023,7
강남구,2023-08-01,0.0,2023,8
강남구,2023-08-02,0.0,2023,8
강남구,2023-08-03,0.0,2023,8
강남구,2023-08-04,2.0,2023,8
강남구,2023-08-05,0.0,2023,8
강남구,2023-08-06,0.5,2023,8
강남구,2023-08-07,0.0,2023,8
강남구,2023-08-08,0.0,2023,8
강남구,2023-08-09,1.0,2023,8
강남구,2023-08-10,89.5,2023,8
강남구,2023-08-11,25.0,2023,8
강남구,2023-08-12,1.0,2023,8
강남구,2023-08-14,0.0,2023,8
강남구,2023-08-15,0.0,2023,8
강남구,2023-08-16,0.0,2023,8
강남구,2023-08-17,0.0,2023,8
강남구,2023-08-18,10.5,2023,8
강남구,2023-08-19,0.0,2023,8
강남구,2023-08-20,0.0,2023,8
강남구,2023-08-21,0.0,2023,8
강남구,2023-08-22,44.5,2023,8
강남구,2023-08-23,46.0,2023,8
강남구,2023-08-24,3.5,2023,8
강남구,2023-08-25,1.5,2023,8
강남구,2023-08-26,0.0,2023,8
강남구,2023-08-27,0.0,2023,8
강남구,2023-08-28,23.5,2023,8
강남구,2023-08-29,34.0,2023,8
강남구,2023-08-30,12.5,2023,8
강남구,2023-08-31,0.0,2023,8
강남구,2023-09-01,0.0,2023,9
강남구,2023-09-02,0.0,2023,9
강남구,2023-09-03,4.0,2023,9
강남구,2023-09-04,1.0,2023,9
강남구,2023-09-05,12.5,2023,9
강남구,2023-09-06,0.0,2023,9
강남구,2023-09-07,0.0,2023,9
강남구,2023-09-08,0.0,2023,9
강남구,2023-09-09,0.0,2023,9
강남구,2023-09-10,0.0,2023,9
강남구,2023-09-11,0.0,2023,9
강남구,2023-09-12,0.0,2023,9
강남구,2023-09-13,27.0,2023,9
강남구,2023-09-14,0.0,2023,9
강남구,2023-09-15,4.0,2023,9
강남구,2023-09-16,25.0,2023,9
강남구,2023-09-17,4.5,2023,9
강남구,2023-09-18,0.0,2023,9
강남구,2023-09-19,0.0,2023,9
강남구,2023-09-20,34.5,2023,9
강남구,2023-09-21,0.0,2023,9
강남구,2023-09-22,0.0,2023,9
강남구,2023-09-23,0.0,2023,9
강남구,2023-09-24,0.0,2023,9
강남구,2023-09-25,2.0,2023,9
강남구,2023-09-26,25.5,2023,9
강남구,2023-09-27,9.5,2023,9
강남구,2023-09-28,0.0,2023,9
강남구,2023-09-29,0.0,2023,9
강남구,2023-09-30,2.0,2023,9
강남구,2023-10-01,0.0,2023,10
강남구,2023-10-02,0.0,2023,10
