연도,월,자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
2022,1,34310,76.75,190.7826086956522,14642.565217391306,0.0001302527819768,0.4778455769811255,0.0005420975345397,13.423329130941136,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,37080,178.85,188.94444444444449,33792.71388888889,0.0003114601540961,0.4720185930397039,0.0012977170128118,13.293720387652469,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,32330,59.98,188.58823529411765,11311.522352941176,0.000100489337996,0.470889409400441,0.0004106624781067,13.22246047199884,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,32340,222.29,187.76785714285717,41738.91696428571,0.0003885575903828,0.4682888092037244,0.0016112553526478,13.20322149507082,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,34330,231.14,183.39622641509436,42390.20377358491,0.0004042645957036,0.4544307320314791,0.0016369535865096,12.816123590610676,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,37060,239.68,183.0,43861.44,0.0004194214121375,0.4531746935918213,0.0016950050809857,12.783543243722356,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,33330,68.08,183.5,12492.68,0.000114865241171,0.454759694479961,0.0004572681593648,12.772371772383414,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,34070,180.78,180.05882352941177,32551.03411764706,0.0003148855236181,0.4438511589557058,0.0012487232719787,12.502241716306232,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,32410,79.34,180.04545454545453,14284.806363636364,0.0001348495213871,0.4438087792528143,0.0005279812181048,12.468571428157947,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,37030,162.02,179.05,29009.681000000004,0.0002815902219437,0.4406531865755181,0.0011089898714168,12.406328873023703,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,25040,1780.96,172.7280163599182,307621.6880163599,0.0031548895659091,0.4206124872068502,0.0121023593221392,12.344378379176344,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,32390,143.87,178.06451612903226,25618.141935483876,0.0002493775500145,0.4375292009540558,0.000975167778313,12.312742948488568,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,39010,1381.43,173.68134715025906,239928.6233937824,0.0024458025788098,0.4236345475056124,0.0094313514333661,12.307241991668064,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
