month,자치구,지역,소음 평균(dB)
2023.1,Gangdong-gu,commercial_area,49.42835041345369
2023.2,Gangdong-gu,commercial_area,51.841283681081585
2023.3,Gangdong-gu,commercial_area,49.355893040810784
2023.4,Gangdong-gu,commercial_area,47.71674060715885
2023.5,Gangdong-gu,commercial_area,44.60893866422818
2023.6,Gangdong-gu,commercial_area,40.28099541114811
2023.7,Gangdong-gu,commercial_area,43.69474382898738
2023.8,Gangdong-gu,commercial_area,41.570219921791164
2023.9,Gangdong-gu,commercial_area,40.918536402317734
2023.10,Gangdong-gu,commercial_area,40.126234882534185
2023.11,Gangdong-gu,commercial_area,39.173787680324835
2023.12,Gangdong-gu,commercial_area,38.71330572939409
2023.1,Gangdong-gu,industrial_area,49.910983243382
2023.2,Gangdong-gu,industrial_area,49.064993818263744
2023.3,Gangdong-gu,industrial_area,45.54798528404606
2023.4,Gangdong-gu,industrial_area,44.08112191234367
2023.5,Gangdong-gu,industrial_area,43.87899297276562
2023.6,Gangdong-gu,industrial_area,43.94761182944814
2023.7,Gangdong-gu,industrial_area,45.623773532779616
2023.8,Gangdong-gu,industrial_area,46.495046291800286
2023.9,Gangdong-gu,industrial_area,44.61345353548162
2023.10,Gangdong-gu,industrial_area,44.216437575842136
2023.11,Gangdong-gu,industrial_area,47.037120246143324
2023.12,Gangdong-gu,industrial_area,49.50269087054818
2023.1,Gangdong-gu,main_street,65.18924423627999
2023.2,Gangdong-gu,main_street,65.50882561288084
2023.3,Gangdong-gu,main_street,65.66760486861622
2023.4,Gangdong-gu,main_street,64.54829252334557
2023.5,Gangdong-gu,main_street,64.43522188394368
2023.6,Gangdong-gu,main_street,64.56572391617388
2023.7,Gangdong-gu,main_street,336.2692032356771
2023.8,Gangdong-gu,main_street,64.23733388376321
2023.9,Gangdong-gu,main_street,63.77382607879831
2023.10,Gangdong-gu,main_street,64.65551980784282
2023.11,Gangdong-gu,main_street,65.59578715499617
2023.12,Gangdong-gu,main_street,64.82842438241573
2023.1,Gangdong-gu,parks,56.493224848013
2023.2,Gangdong-gu,parks,54.41145797487049
2023.3,Gangdong-gu,parks,54.951634332336596
