자치구,year_month,강수량점수,대기점수,불쾌지수점수,쓰레기점수,이상기온점수,환경점수
강동구,2024-05,19.420749562648066,72.63,46.31,77.56,31.343283582089555,49.45280662894753
강동구,2024-06,25.350240496333043,70.25,32.94,75.86,49.25373134328358,50.73079436792332
강동구,2024-07,79.268781573409,83.3,28.91,74.84,43.28358208955223,61.920472732592245
강동구,2024-08,19.44342007322575,77.11,21.48,74.84,97.01492537313432,57.97766908927201
강동구,2024-09,23.38808891374249,86.81,11.14,76.54,50.74626865671642,49.72487151409178
강동구,2024-10,7.27838631305708,79.39,36.88,78.24,20.8955223880597,44.536781740223354
강동구,2024-11,6.258213337061372,66.4,54.81,79.25,22.388059701492537,45.821254607710785
강동구,2024-12,0.1700288293326179,55.28,79.08,80.61,8.955223880597014,44.81905054198592
강북구,2022-01,0.0113352552888411,49.49,83.48,94.49,5.970149253731343,46.68829690180404
강북구,2022-02,0.0,58.4,80.48,94.49,7.462686567164178,48.16653731343284
강북구,2022-03,7.27838631305708,64.74,61.32,93.16,13.432835820895525,47.98624442679052
강북구,2022-04,0.3853986798206007,60.39,43.59,93.16,25.37313432835821,44.57970660163576
강북구,2022-05,0.1133525528884119,72.07,34.21,92.78,19.402985074626866,43.71526752550305
강북구,2022-06,24.89567786715837,82.71,19.81,91.83,16.417910447761194,47.13271766298391
강북구,2022-07,16.404419238195274,80.16,6.49,91.26,50.74626865671642,49.01213757898234
강북구,2022-08,46.1425559489309,86.35,12.28,91.26,22.388059701492537,51.684123130084686
강북구,2022-09,14.284726499181971,87.09,25.24,92.21,22.388059701492537,48.2425572401349
강북구,2022-10,9.046686138116309,83.62,52.5,93.16,19.402985074626866,51.54593424254864
강북구,2022-11,6.972334420258368,65.33,65.78,93.73,11.940298507462686,48.75052658554421
강북구,2022-12,0.2267051057768239,67.91,90.13,94.49,2.985074626865672,51.1483559465285
강북구,2023-01,6.054178741862231,54.19,93.66,94.79,14.925373134328357,52.72391037523812
강북구,2023-02,0.0,51.17,82.29,94.79,7.462686567164178,47.14253731343284
강북구,2023-03,0.2153698504879827,44.82,62.56,93.48,13.432835820895525,42.9016411342767
강북구,2023-04,7.221710036612874,59.97,58.12,93.48,23.88059701492537,48.53446141030765
강북구,2023-05,23.80864577705064,70.45,52.33,93.11,29.850746268656717,53.909878409141484
강북구,2023-06,29.783477731890983,74.28,44.6,92.17,26.86567164179105,53.539829874736405
강북구,2023-07,40.281076546978966,75.14,38.83,91.61,47.76119402985074,58.72445411536594
강북구,2023-08,26.01902055837467,82.61,41.37,91.61,61.19402985074627,60.56061008182419
강북구,2023-09,2.5164266741227457,86.72,51.52,92.55,17.91044776119403,50.243374887063354
강북구,2023-10,0.9068204231072956,80.23,42.2,93.48,17.91044776119403,46.945453636860265
강북구,2023-11,7.063016462569097,75.12,65.42,94.04,14.925373134328357,51.313677919379494
강북구,2023-12,7.108357483724462,66.97,80.24,94.79,19.402985074626866,53.702268511670276
강북구,2024-01,0.351392913954077,63.53,83.2,94.95,8.955223880597014,50.197323358910225
강북구,2024-02,1.4849184428381967,68.72,72.63,94.95,4.477611940298507,48.452506076627344
강북구,2024-03,0.2267051057768239,65.12,63.59,93.65,22.388059701492537,48.994952961453876
강북구,2024-04,0.6574448067527895,65.97,39.48,93.65,25.37313432835821,45.0261158270222
강북구,2024-05,7.743131779899569,78.78,34.68,93.28,28.35820895522388,48.56826814702469
강북구,2024-06,12.641114482299995,72.15,18.07,92.35,44.776119402985074,47.997446777057014
강북구,2024-07,37.82017373167939,86.01,11.46,91.79,37.3134328358209,52.87872131350006
강북구,2024-08,13.105859949142486,80.06,4.01,91.79,91.04477611940298,56.002127213709095
강북구,2024-09,13.15120097029785,90.9,13.56,92.72,44.776119402985074,51.021464074656585
강북구,2024-10,6.280883847639054,87.69,37.51,93.65,17.91044776119403,48.60826632176662
강북구,2024-11,0.5894332750197423,78.21,55.11,94.21,22.388059701492537,50.10149859530245
강북구,2024-12,0.0453410211553647,70.63,78.24,94.95,5.970149253731343,49.96709805497734
강서구,2022-01,0.0,40.03,84.92,35.85,1.4925373134328357,32.45850746268657
강서구,2022-02,0.0793467870218883,52.61,83.48,35.85,1.4925373134328357,34.70237682009095
강서구,2022-03,14.250720733315449,57.71,65.34,30.11,10.44776119402985,35.57169638546907
강서구,2022-04,5.7707973596412,56.13,44.17,30.11,13.432835820895525,29.922726636107342
강서구,2022-05,0.2153698504879827,65.9,34.22,28.46,11.940298507462686,28.147133671590133
강서구,2022-06,36.18674455246523,79.67,20.36,24.36,8.955223880597014,33.90639368661245
강서구,2022-07,28.9435164228957,69.22,14.87,21.9,47.76119402985074,36.53894209054929
강서구,2022-08,61.831701686308136,78.45,18.46,21.9,22.388059701492537,40.60595227756014
강서구,2022-09,23.206724829121026,74.85,31.71,26.0,17.91044776119403,34.73543451806301
강서구,2022-10,15.191546922289266,70.63,56.04,30.11,10.44776119402985,36.48386162326382
강서구,2022-11,13.581940671273816,53.89,69.82,32.57,8.955223880597014,35.76343291037416
강서구,2022-12,0.3627281692429183,61.72,92.91,35.85,0.0,38.16854563384858
강서구,2023-01,6.938328654391844,45.55,100.0,45.56,13.432835820895525,42.29623289505747
강서구,2023-02,0.0453410211553647,41.17,92.7,45.56,4.477611940298507,36.790590592290776
강서구,2023-03,0.4874159774201715,36.66,73.77,40.55,13.432835820895525,32.98005035966314
강서구,2023-04,8.525264394829613,51.12,65.38,40.55,16.417910447761194,36.39863496851816
강서구,2023-05,25.81498596317553,61.25,60.25,39.12,25.37313432835821,42.36162405830675
강서구,2023-06,26.08703209010772,68.91,56.92,35.53,19.402985074626866,41.370003432946916
강서구,2023-07,54.23592822516351,74.15,53.49,33.38,49.25373134328358,52.90193191368942
강서구,2023-08,36.73198922395064,77.78,53.85,33.38,59.70149253731343,52.28869635225281
강서구,2023-09,14.477425839092271,80.1,53.2,36.97,20.8955223880597,41.128589645430395
