,월,자치구,지역,소음(dB)
520,05월,강동구,commercial_area,50.37572726689088
521,05월,강동구,industrial_area,44.212155473303056
522,05월,강동구,main_street,65.4158796462838
523,05월,강동구,parks,54.79283432498024
524,05월,강동구,residential_area,53.700516582057034
525,05월,강동구,roads_and_parks,62.33634575034189
526,05월,강동구,traditional_markets,46.24422804660733
527,05월,강북구,commercial_area,48.932217419189804
528,05월,강북구,parks,55.01209814178452
529,05월,강북구,residential_area,47.04530874620214
530,05월,강북구,roads_and_parks,49.23667441091054
531,05월,강북구,traditional_markets,50.041653785306366
532,05월,강서구,commercial_area,65.7685354708371
533,05월,강서구,industrial_area,50.8090895557642
534,05월,강서구,main_street,62.414841067571736
535,05월,강서구,residential_area,49.40968169868883
536,05월,강서구,roads_and_parks,59.040039456165985
537,05월,강서구,traditional_markets,54.22338804793108
538,05월,관악구,commercial_area,50.769025504070115
539,05월,관악구,industrial_area,42.20345740846509
540,05월,관악구,main_street,58.72322730409687
541,05월,관악구,residential_area,46.47687043937965
542,05월,관악구,roads_and_parks,56.372968063577105
543,05월,관악구,traditional_markets,49.86035733988442
544,05월,광진구,commercial_area,46.93487906899635
545,05월,광진구,main_street,59.81809769500495
546,05월,광진구,residential_area,45.58922287330478
547,05월,광진구,roads_and_parks,66.53365465806826
548,05월,광진구,traditional_markets,50.12870533633925
549,05월,구로구,commercial_area,42.41882735662138
550,05월,구로구,industrial_area,49.902899485140196
551,05월,구로구,residential_area,46.817733826205895
552,05월,구로구,roads_and_parks,65.03640113883412
553,05월,구로구,traditional_markets,43.46964163999258
554,05월,금천구,commercial_area,54.372591291806735
555,05월,금천구,industrial_area,47.15813951210204
556,05월,금천구,public_facilities,42.71490086658276
557,05월,금천구,residential_area,49.22805550590524
558,05월,금천구,roads_and_parks,47.61737270977558
559,05월,노원구,commercial_area,53.37231931479901
560,05월,노원구,industrial_area,42.415280230885024
561,05월,노원구,residential_area,47.63607509267238
562,05월,노원구,roads_and_parks,51.92751245124141
563,05월,노원구,traditional_markets,43.71138340307462
564,05월,도봉구,commercial_area,46.307059968616144
565,05월,도봉구,industrial_area,48.51628617168515
566,05월,도봉구,main_street,58.84413570157277
567,05월,도봉구,residential_area,47.849839561990166
568,05월,도봉구,roads_and_parks,53.48499817048466
569,05월,도봉구,traditional_markets,40.710456603072174
570,05월,동대문구,commercial_area,50.731890357095516
571,05월,동대문구,residential_area,45.44182895758539
572,05월,동대문구,roads_and_parks,64.27749026550107
573,05월,동작구,commercial_area,47.91785603222695
574,05월,동작구,industrial_area,45.46061606537413
575,05월,동작구,residential_area,47.91718564930728
576,05월,동작구,roads_and_parks,54.82863129900141
577,05월,동작구,traditional_markets,48.72155944993106
578,05월,마포구,commercial_area,53.862138188608775
579,05월,마포구,industrial_area,45.810910376341454
580,05월,마포구,main_street,58.30856342537015
581,05월,마포구,residential_area,45.81753847000066
582,05월,마포구,roads_and_parks,68.14090703748825
583,05월,마포구,traditional_markets,44.686243071286945
584,05월,서대문구,commercial_area,44.62296136668057
585,05월,서대문구,public_facilities,53.880817258150294
586,05월,서대문구,residential_area,45.12642733263836
587,05월,서대문구,roads_and_parks,45.3966234324103
588,05월,서대문구,traditional_markets,56.33144626805856
589,05월,서초구,commercial_area,54.53987618464348
590,05월,서초구,industrial_area,42.98671675756793
591,05월,서초구,main_street,66.63498388345488
592,05월,서초구,residential_area,47.42499783820104
593,05월,서초구,roads_and_parks,52.711068711245716
594,05월,성동구,commercial_area,49.62979770781552
595,05월,성동구,industrial_area,47.970248552619026
596,05월,성동구,main_street,52.01860108878748
597,05월,성동구,parks,64.1474665783961
598,05월,성동구,residential_area,46.36599767010894
599,05월,성동구,roads_and_parks,69.88766540477067
600,05월,성북구,commercial_area,56.15693999884327
601,05월,성북구,industrial_area,56.58220810254128
