`RAINGAUGE_CODE`|`RAINGAUGE_NAME`|`GU_CODE`|`GU_NAME`|`RAINFALLHOUR`|`RAINFALLACCU`|`RAINFALLMAX`|`RECEIVE_TIME`|`LIST_TIME`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:33:42`|`2020-07-17 11:34:02`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:32:41`|`2020-07-17 11:33:14`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:35:42`|`2020-07-17 11:36:02`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:34:41`|`2020-07-17 11:35:20`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:36:42`|`2020-07-17 11:37:27`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:37:42`|`2020-07-17 11:38:04`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:39:42`|`2020-07-17 11:40:01`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:40:41`|`2020-07-17 11:41:21`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:38:42`|`2020-07-17 11:39:18`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:42:42`|`2020-07-17 11:43:06`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:43:42`|`2020-07-17 11:44:18`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:41:41`|`2020-07-17 11:41:59`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:28:42`|`2020-07-17 11:29:13`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:45:42`|`2020-07-17 11:46:01`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:27:41`|`2020-07-17 11:28:14`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:30:42`|`2020-07-17 11:31:17`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:29:42`|`2020-07-17 11:30:15`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:32:40`|`2020-07-17 11:33:14`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:31:42`|`2020-07-17 11:32:11`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:34:40`|`2020-07-17 11:35:20`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:44:42`|`2020-07-17 11:45:01`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:33:40`|`2020-07-17 11:34:29`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:35:40`|`2020-07-17 11:36:25`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:37:40`|`2020-07-17 11:38:04`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:36:40`|`2020-07-17 11:37:27`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:40:40`|`2020-07-17 11:41:21`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:41:40`|`2020-07-17 11:42:24`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:38:40`|`2020-07-17 11:39:18`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:42:40`|`2020-07-17 11:43:06`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:39:40`|`2020-07-17 11:40:30`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:43:40`|`2020-07-17 11:44:18`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:27:40`|`2020-07-17 11:28:14`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:44:40`|`2020-07-17 11:45:33`
`2501`|`송파구청`|`125`|`송파구`|`0`|`352.5`|`13.5`|`2020-07-17 11:45:40`|`2020-07-17 11:46:31`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:28:40`|`2020-07-17 11:29:13`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:30:40`|`2020-07-17 11:31:17`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:31:40`|`2020-07-17 11:32:11`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:29:40`|`2020-07-17 11:30:15`
`2502`|`마천2동`|`125`|`송파구`|`0`|`345.5`|`12`|`2020-07-17 11:33:41`|`2020-07-17 11:34:29`
