자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL,_global_excluded,_tag_match
강서구,소음,키워드:북카페,카페숨,"음식점>카페,디저트",서울특별시 강서구 공항대로39길 7 1층,126.8432694,37.558591,,https://www.instagram.com/cafe._.soom,False,True
강서구,소음,키워드:북카페,벤의 서재,"카페,디저트>북카페",서울특별시 강서구 공항대로 219 3층 301호,126.8317699,37.5597269,,https://www.instagram.com/benslibrary_bookcafe,False,True
강서구,소음,키워드:북카페,카페 공명 마곡책빵,"음식점>카페,디저트","서울특별시 강서구 마곡중앙로 105-7 K스퀘어 타워 3 1층 101, 102, 103호",126.8258989,37.5622768,,https://www.instagram.com/cafegm_,False,True
강서구,소음,키워드:북카페,베레프트,"카페,디저트>카페",서울특별시 강서구 금낭화로 286 1층,126.8113596,37.5760694,,https://www.instagram.com/cafe.belebt,False,True
강서구,소음,키워드:미술관,마이아트뮤지엄 원그로브점,"문화,예술>전시관",서울특별시 강서구 공항대로 165 원그로브 C동 2층 W213호,126.8246493,37.5609223,,https://www.mamuone.com,False,True
강서구,소음,키워드:미술관,스페이스K 서울,"문화,예술>미술관",서울특별시 강서구 마곡중앙8로 32 스페이스K 서울,126.8309922,37.5611512,,https://www.spacek.co.kr/index.do,False,True
강서구,소음,키워드:미술관,겸재정선미술관,"문화,예술>미술관",서울특별시 강서구 양천로47길 36,126.8385052,37.572166,,https://culture.gangseo.seoul.kr/,False,True
강서구,소음,키워드:박물관,국립항공박물관,"여행,명소>박물관",서울특별시 강서구 하늘길 177,126.8083069,37.5565602,,http://www.aviation.or.kr/index.do,False,True
강서구,소음,키워드:박물관,허준박물관,"여행,명소>박물관",서울특별시 강서구 허준로 87 허준박물관,126.8510131,37.5678639,,https://culture.gangseo.seoul.kr,False,True
강서구,소음,키워드:전시회,비커밍갤러리,"문화,예술>갤러리,화랑",서울특별시 강서구 등촌로39마길 5 1층 102호,126.859847,37.5465943,,https://becoming-gallery.web.app,False,True
강서구,소음,키워드:수목원,서울식물원,"여행,명소>식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,126.8327466,37.5682071,,http://botanicpark.seoul.go.kr/,False,True
강서구,소음,키워드:수목원,월드옥타정원,"여행,명소>식물원,수목원",서울특별시 강서구,126.8261879,37.5646254,,,False,True
