YEAR,MONTH,gu_code,gu_name,total_geton,total_getoff,total_passenger
2022,12,11230.0,동대문구,1428452,1316099,2744551
2022,12,11590.0,동작구,4601568,4898991,9500559
2022,12,11440.0,마포구,6824746,6632417,13457163
2022,12,11410.0,서대문구,1832265,1758060,3590325
2022,12,11650.0,서초구,5870566,5891271,11761837
2022,12,11200.0,성동구,4143630,4080597,8224227
2022,12,11290.0,성북구,2764398,2796857,5561255
2022,12,11710.0,송파구,7819138,7314799,15133937
2022,12,11470.0,양천구,1676487,1640770,3317257
2022,12,11560.0,영등포구,3227893,4088086,7315979
2022,12,11170.0,용산구,2168650,2116656,4285306
2022,12,11380.0,은평구,3410612,3194296,6604908
2022,12,11110.0,종로구,5778108,5444464,11222572
2022,12,11140.0,중구,8469912,8243981,16713893
2022,12,11260.0,중랑구,2030912,1939863,3970775
2023,1,11680.0,강남구,10089074,10021340,20110414
2023,1,11740.0,강동구,3636452,3439510,7075962
2023,1,11305.0,강북구,1664987,1919250,3584237
2023,1,11500.0,강서구,2802020,3578805,6380825
2023,1,11620.0,관악구,3425023,3144690,6569713
2023,1,11215.0,광진구,4613325,4441751,9055076
2023,1,11530.0,구로구,3442630,3235669,6678299
2023,1,11545.0,금천구,589329,560960,1150289
2023,1,11350.0,노원구,3720740,3546930,7267670
2023,1,11320.0,도봉구,1307281,1282171,2589452
2023,1,11230.0,동대문구,1304140,1207860,2512000
2023,1,11590.0,동작구,4025611,4284760,8310371
2023,1,11440.0,마포구,5964984,5781345,11746329
2023,1,11410.0,서대문구,1569262,1504033,3073295
2023,1,11650.0,서초구,5193885,5180285,10374170
2023,1,11200.0,성동구,3560406,3515279,7075685
2023,1,11290.0,성북구,2329582,2361650,4691232
2023,1,11710.0,송파구,6721181,6254822,12976003
2023,1,11470.0,양천구,1489086,1455214,2944300
2023,1,11560.0,영등포구,2808626,3551232,6359858
2023,1,11170.0,용산구,1865192,1819836,3685028
2023,1,11380.0,은평구,3028046,2837765,5865811
2023,1,11110.0,종로구,4879502,4597429,9476931
2023,1,11140.0,중구,7055940,6879469,13935409
2023,1,11260.0,중랑구,1804609,1724943,3529552
2023,2,11680.0,강남구,10547683,10451839,20999522
2023,2,11740.0,강동구,3755127,3541049,7296176
2023,2,11305.0,강북구,1698264,1963252,3661516
2023,2,11500.0,강서구,2873732,3668015,6541747
2023,2,11620.0,관악구,3493894,3204660,6698554
2023,2,11215.0,광진구,4780022,4585253,9365275
2023,2,11530.0,구로구,3529534,3328599,6858133
2023,2,11545.0,금천구,609700,579662,1189362
2023,2,11350.0,노원구,3833107,3659931,7493038
2023,2,11320.0,도봉구,1324587,1312759,2637346
2023,2,11230.0,동대문구,1325291,1223929,2549220
2023,2,11590.0,동작구,4161418,4433441,8594859
2023,2,11440.0,마포구,6238517,6044057,12282574
2023,2,11410.0,서대문구,1650449,1581689,3232138
2023,2,11650.0,서초구,5370764,5372519,10743283
2023,2,11200.0,성동구,3721680,3671052,7392732
2023,2,11290.0,성북구,2411286,2446273,4857559
2023,2,11710.0,송파구,6928757,6445031,13373788
2023,2,11470.0,양천구,1534101,1503906,3038007
2023,2,11560.0,영등포구,2964346,3732487,6696833
2023,2,11170.0,용산구,1985992,1947634,3933626
2023,2,11380.0,은평구,3116160,2930839,6046999
2023,2,11110.0,종로구,5180793,4895213,10076006
2023,2,11140.0,중구,7405023,7200099,14605122
2023,2,11260.0,중랑구,1852783,1771124,3623907
2023,3,11680.0,강남구,11555936,11455845,23011781
2023,3,11740.0,강동구,4244634,4004707,8249341
2023,3,11305.0,강북구,1954404,2271652,4226056
2023,3,11500.0,강서구,3243530,4112246,7355776
2023,3,11620.0,관악구,3977331,3646149,7623480
2023,3,11215.0,광진구,5593490,5354841,10948331
2023,3,11530.0,구로구,3952785,3722538,7675323
2023,3,11545.0,금천구,666549,642075,1308624
2023,3,11350.0,노원구,4489057,4282940,8771997
