연도,자치구코드,모형,연평균_스트레스점수,연합계_총이동인구수,연평균_평균이동시간,월개수
2022,31104,PCA기반,5.561322779810309,1195416.2,86.27888987028687,1
2022,31104,문헌기반,5.695613072842907,1195416.2,86.27888987028687,1
2022,31110,CRITIC기반,3.732620970077878,1152024.84,64.72531180094578,1
2022,31110,PCA기반,3.5469697381284595,1152024.84,64.72531180094578,1
2022,31110,문헌기반,3.5119961679873386,1152024.84,64.72531180094578,1
2022,31120,CRITIC기반,4.238617997272938,1901298.5999999999,62.895078989664036,1
2022,31120,PCA기반,4.89013745019483,1901298.5999999999,62.895078989664036,1
2022,31120,문헌기반,4.671725810547084,1901298.5999999999,62.895078989664036,1
2022,31130,CRITIC기반,9.888162633737451,4686694.39,75.33014177504853,1
2022,31130,PCA기반,12.654044403989875,4686694.39,75.33014177504853,1
2022,31130,문헌기반,11.520103067198646,4686694.39,75.33014177504853,1
2022,31140,CRITIC기반,10.119867013834646,255114.91,111.23303618410041,1
2022,31140,PCA기반,5.064187250664156,255114.91,111.23303618410041,1
2022,31140,문헌기반,5.982590316673328,255114.91,111.23303618410041,1
2022,31150,CRITIC기반,7.00477852849563,1173263.57,84.04985224015672,1
2022,31150,PCA기반,5.308576715903316,1173263.57,84.04985224015672,1
2022,31150,문헌기반,5.43590144741723,1173263.57,84.04985224015672,1
2022,31160,CRITIC기반,6.5258550569878935,856597.61,84.06728972734507,1
2022,31160,PCA기반,4.474864563210088,856597.61,84.06728972734507,1
2022,31160,문헌기반,4.736110370673155,856597.61,84.06728972734507,1
2022,31170,CRITIC기반,5.303576175608831,624040.9400000001,78.15840811561678,1
2022,31170,PCA기반,3.4637398989564865,624040.9400000001,78.15840811561678,1
2022,31170,문헌기반,3.742067422424326,624040.9400000001,78.15840811561678,1
2022,31180,CRITIC기반,6.593106441856838,4481698.7,59.89920904068654,1
2022,31180,PCA기반,9.908741480347453,4481698.7,59.89920904068654,1
2022,31180,문헌기반,9.113693993377764,4481698.7,59.89920904068654,1
2022,31191,CRITIC기반,10.453666019007205,644343.86,109.26633317229253,1
2022,31191,PCA기반,6.077484151806282,644343.86,109.26633317229253,1
2022,31191,문헌기반,6.727754012619099,644343.86,109.26633317229253,1
2022,31192,CRITIC기반,8.374926572428311,1261255.78,91.81044691162043,1
2022,31192,PCA기반,6.192955085837685,1261255.78,91.81044691162043,1
2022,31192,문헌기반,6.347514599533191,1261255.78,91.81044691162043,1
2022,31193,CRITIC기반,7.108320315960051,1338680.35,83.86105303153894,1
2022,31193,PCA기반,5.631556537977149,1338680.35,83.86105303153894,1
2022,31193,문헌기반,5.695698035926636,1338680.35,83.86105303153894,1
2022,31200,CRITIC기반,8.913201413659815,1567577.97,91.7625604065471,1
2022,31200,PCA기반,7.1238451165719265,1567577.97,91.7625604065471,1
2022,31200,문헌기반,7.1130262229144545,1567577.97,91.7625604065471,1
2022,31210,CRITIC기반,10.92977175530309,397983.1,114.53870103422567,1
2022,31210,PCA기반,5.773485794349642,397983.1,114.53870103422567,1
2022,31210,문헌기반,6.646286256158125,397983.1,114.53870103422567,1
