gu,total_pop,avg_time,total_time,pop_norm,avg_norm,total_norm,stress_score,model,w_pop,w_avg,w_total
37360,10.129999999999999,231.66666666666666,2346.783333333333,1.2015415369714685e-05,0.6074481133707471,5.693512397281149e-05,21.26236336414724,literature,0.45,0.35,0.2
36370,49.519999999999996,231.06666666666666,11442.421333333332,8.19249000688375e-05,0.6055461123049796,0.0004158274416257213,21.206117100009898,literature,0.45,0.35,0.2
37310,6.37,230.5,1468.285,5.342156611941094e-06,0.603749777965088,2.2271661893052117e-05,21.13192805906348,literature,0.45,0.35,0.2
38320,63.9,230.28571428571428,14715.257142857143,0.00010744656521159927,0.6030704918701709,0.0005449657856294556,21.12320162660309,literature,0.45,0.35,0.2
21050,236.79,229.0810810810811,54244.10918918919,0.0004142922318689068,0.5992518024717187,0.002104680598935249,21.03454984892296,literature,0.45,0.35,0.2
24040,379.79,228.12389380530973,86639.17362831859,0.0006680890410076366,0.5962175171072915,0.003382913061251198,20.96533536682557,literature,0.45,0.35,0.2
21130,137.41,228.57142857142858,31408.0,0.0002379123235317952,0.5976362031108351,0.0012036218548336234,20.952045600534834,literature,0.45,0.35,0.2
33380,48.72,227.26666666666668,11072.432,8.05050577799495e-05,0.5935001055551182,0.0004012285394544988,20.784150992818322,literature,0.45,0.35,0.2
33340,73.91,226.45,16736.9195,0.00012521234185131034,0.5909112707711568,0.0006247357906435783,20.700023748186666,literature,0.45,0.35,0.2
38070,300.48,225.3404255319149,67710.29106382979,0.0005273294260930026,0.5873939177364128,0.002636024219132686,20.635237429331283,literature,0.45,0.35,0.2
35050,88.56,225.56521739130434,19976.055652173913,0.00015121320376657184,0.5881065083299706,0.0007525444260407901,20.60558327423928,literature,0.45,0.35,0.2
32040,103.55,224.42424242424244,23239.130303030302,0.0001778174986546107,0.5844896156576941,0.0008812976178587043,20.482764287815925,literature,0.45,0.35,0.2
24050,314.66,223.1,70200.64600000001,0.0005524961306635424,0.5802917648206212,0.0027342877224537823,20.389759849050677,literature,0.45,0.35,0.2
39020,338.86,222.77173913043478,75488.43152173913,0.0005954463599024043,0.5792511772810164,0.0029429312064126263,20.359444915159433,literature,0.45,0.35,0.2
22020,248.5,222.84146341463415,55376.10365853659,0.0004350751733725049,0.5794722033857782,0.0021493464177238116,20.344092429658474,literature,0.45,0.35,0.2
21030,66.22,222.75,14750.505,0.00011156410784937447,0.5791822641989234,0.0005463565825303766,20.287326763466147,literature,0.45,0.35,0.2
37050,356.32,221.8762886597938,79058.95917525773,0.0006264344178573848,0.5764125976985144,0.0030838157650125947,20.264306783551834,literature,0.45,0.35,0.2
36450,27.01,222.375,6006.34875,4.197408766525146e-05,0.5779935135328187,0.00020133290167569906,20.235688465627103,literature,0.45,0.35,0.2
37390,104.09,221.85,23092.3665,0.0001787758921996101,0.5763292626002721,0.0008755066660401402,20.197079239479308,literature,0.45,0.35,0.2
24010,76.6,221.0,16928.6,0.00012998656154769624,0.5736347610904347,0.0006322990488662416,20.095712014412186,literature,0.45,0.35,0.2
35040,159.5,220.27027027027026,35133.10810810811,0.0002771177187337151,0.5713215165509875,0.0013506057917962164,20.035735492463505,literature,0.45,0.35,0.2
26020,208.32,219.44776119402985,45715.3576119403,0.00036376359441310513,0.5687141613182997,0.0017681562759306654,19.95672813340769,literature,0.45,0.35,0.2
35011,797.38,217.78636363636363,173658.49063636363,0.0014092289677785606,0.5634475281093916,0.00681648906346133,19.920408568647964,literature,0.45,0.35,0.2
21020,31.86,219.2,6983.7119999999995,5.058188154163494e-05,0.5679287578931319,0.00023989733904460932,19.884580657709883,literature,0.45,0.35,0.2
21060,167.06,217.2962962962963,36301.51925925926,0.00029053522836370666,0.5618940137708818,0.0013967085265365546,19.707298737787955,literature,0.45,0.35,0.2
32350,53.32,216.92857142857142,11566.631428571429,8.86691509410555e-05,0.5607283252870118,0.0004207284775899813,19.63789606638956,literature,0.45,0.35,0.2
24020,314.43,216.01941747572815,67922.9854368932,0.0005520879260054871,0.5578463056415872,0.00264441663498086,19.602352986825416,literature,0.45,0.35,0.2
26310,72.5,216.47826086956522,15694.673913043478,0.00012270986981714527,0.5593008400150847,0.0005836112500378129,19.59272356967049,literature,0.45,0.35,0.2
32380,78.55,215.8,16951.09,0.00013344742712686073,0.5571507518537824,0.000633186450962061,19.51894517812233,literature,0.45,0.35,0.2
22050,350.43,215.01030927835052,75346.06268041237,0.000615980829005447,0.5546474308634421,0.0029373136693662625,19.499125490913045,literature,0.45,0.35,0.2
35012,527.95,214.2171052631579,113095.92072368422,0.0009310438329096939,0.5521329727263297,0.004426833595754953,19.455087689817574,literature,0.45,0.35,0.2
34340,66.38,214.1578947368421,14215.801052631577,0.00011184807630715206,0.5519452752527342,0.0005252584320840623,19.333622965921197,literature,0.45,0.35,0.2
37040,233.39,213.53030303030303,49835.83742424242,0.00040825790214113277,0.5499558084282272,0.0019307406432591732,19.305439713449488,literature,0.45,0.35,0.2
35020,417.51,212.18803418803418,88590.62615384615,0.0007350346049287056,0.5457008138139906,0.003459912752716075,19.20180329576578,literature,0.45,0.35,0.2
22010,76.31,205.1851851851852,15657.681481481482,0.00012947186871797435,0.5235017700359436,0.0005821516163651776,18.340031217677637,literature,0.45,0.35,0.2
32030,483.53999999999996,203.88194444444446,98585.07541666666,0.0008522248378477987,0.5193704945728759,0.0038542700325020635,18.29340282840385,literature,0.45,0.35,0.2
21040,54.03,204.46153846153845,11047.056923076923,8.99292609724436e-05,0.5212078086365847,0.0004002272990612967,18.25432466500545,literature,0.45,0.35,0.2
35310,182.3,202.69767441860466,36951.78604651163,0.000317583223967023,0.5156163564873694,0.001422366512745957,18.08931105239136,literature,0.45,0.35,0.2
34030,202.27,202.17543859649123,40894.02596491228,0.0003530260371033897,0.5139608680036332,0.0015779179563124915,18.036074910923062,literature,0.45,0.35,0.2
34380,138.45,202.26829268292684,28004.045121951218,0.00023975811850734957,0.5142552156225688,0.0010693098631548805,18.031107859385838,literature,0.45,0.35,0.2
35060,104.12,199.66666666666666,20789.293333333335,0.0001788291362854434,0.5060080565298096,0.0007846328574618716,17.73402194682542,literature,0.45,0.35,0.2
36040,105.54,198.84375,20985.969375,0.0001813493563482196,0.5033994092347465,0.0007923932279186279,17.642987908810166,literature,0.45,0.35,0.2
37400,97.13,196.08,19045.2504,0.0001664232642862845,0.4946383168255546,0.0007158170569176789,17.334146476925646,literature,0.45,0.35,0.2
21120,127.06,193.85,24630.581,0.00021954311391930676,0.4875692128644517,0.0009362009644447504,17.093525909671072,literature,0.45,0.35,0.2
21150,93.25,191.1818181818182,17827.704545454544,0.00015953702918517773,0.47911107176137924,0.0006677755832369419,16.789422189626347,literature,0.45,0.35,0.2
32060,249.48000000000002,190.68253968253967,47571.48,0.00043681448017639273,0.4775283580318083,0.001841394466115697,16.76997707204354,literature,0.45,0.35,0.2
34310,76.75,190.7826086956522,14642.565217391306,0.00013025278197686276,0.4778455769811255,0.0005420975345397479,16.741298520219146,literature,0.45,0.35,0.2
37080,178.85,188.94444444444446,33792.71388888889,0.0003114601540961935,0.4720185930397039,0.0012977170128118123,16.5606208035802,literature,0.45,0.35,0.2
32330,59.98,188.58823529411765,11311.522352941176,0.00010048933799604808,0.470889409400441,0.0004106624781067968,16.493864598787393,literature,0.45,0.35,0.2
32340,222.29,187.76785714285714,41738.91696428571,0.0003885575903828118,0.4682888092037244,0.0016112553526478792,16.43981852075054,literature,0.45,0.35,0.2
11180,140066.4,43.42013112024559,6081701.453540767,0.2485842841277641,0.010706261310168518,0.23993386156110535,16.35968916282739,literature,0.45,0.35,0.2
34330,231.14000000000001,183.39622641509433,42390.20377358491,0.00040426459570363534,0.45443073203147916,0.0016369535865096664,15.956006599638625,literature,0.45,0.35,0.2
33330,68.08,183.5,12492.68,0.00011486524117103906,0.454759694479961,0.0004572681593648239,15.930903605838628,literature,0.45,0.35,0.2
37060,239.68,183.0,43861.44,0.0004194214121375147,0.45317469359182133,0.0016950050809857037,15.913888340879645,literature,0.45,0.35,0.2
34070,180.78,180.05882352941177,32551.03411764706,0.0003148855236181358,0.4438511589557058,0.0012487232719787101,15.573934877452093,literature,0.45,0.35,0.2
32410,79.34,180.04545454545453,14284.806363636364,0.00013484952138713766,0.4438087792528143,0.0005279812181048855,15.54993512667302,literature,0.45,0.35,0.2
37030,162.02,179.05,29009.681000000004,0.0002815902219437123,0.44065318657551816,0.0011089898714168461,15.45771288755894,literature,0.45,0.35,0.2
32390,143.87,178.06451612903226,25618.141935483873,0.0002493775500145658,0.4375292009540558,0.0009751677783130336,15.34424737870887,literature,0.45,0.35,0.2
37380,12.309999999999999,178.25,2194.2574999999997,1.588448560693448e-05,0.4381171851544947,5.091681609523969e-05,15.33583461858153,literature,0.45,0.35,0.2
37090,113.33,176.85294117647058,20042.74382352941,0.00019517507063626646,0.4336885062023398,0.0007551757832229701,15.202984110924984,literature,0.45,0.35,0.2
34350,94.13,176.33333333333334,16598.256666666668,0.00016109885570295452,0.43204134841662606,0.0006192644838889209,15.14108193276632,literature,0.45,0.35,0.2
39010,1381.43,173.68134715025906,239928.62339378239,0.002445802578809855,0.4236345475056124,0.009431351433366118,15.125897307410199,literature,0.45,0.35,0.2
25040,1780.96,172.7280163599182,307621.6880163599,0.0031548895659091326,0.4206124872068502,0.012102359322139291,15.105454269148453,literature,0.45,0.35,0.2
34060,296.87,174.5,51803.815,0.0005209223877643955,0.42622967849344734,0.002008392374039641,14.981648102200849,literature,0.45,0.35,0.2
