연월,출발_자치구코드,도착_자치구코드,start_arv_place_type,총이동인구수,인구가중평균이동시간
2022-01,11010,33020,WH,19.27,198.51011935651272
2022-01,11010,33030,EH,893.16,187.91446101482376
2022-01,11010,33030,WH,46.76,147.77437981180495
2022-01,11010,33041,EH,946.1899999999999,212.3028144453017
2022-01,11010,33041,WH,26.97,225.31961438635523
2022-01,11010,33042,EH,1453.55,197.80700354304977
2022-01,11010,33042,WH,142.3,181.76444132115247
2022-01,11010,33043,EH,1889.62,179.55395264656386
2022-01,11010,33043,WH,269.03000000000003,133.97379474408058
2022-01,11010,33044,EH,1330.78,194.0920738213679
2022-01,11010,33044,WH,50.52,158.90261282660333
2022-01,11010,33320,EH,148.01,247.94067968380514
2022-01,11010,33330,EH,212.85999999999999,204.79357324062767
2022-01,11010,33330,WH,17.919999999999998,156.78125000000003
2022-01,11010,33340,EH,205.14999999999998,237.86258834998785
2022-01,11010,33350,EH,642.62,189.13141514425322
2022-01,11010,33350,WH,37.77,184.56049774953667
2022-01,11010,33360,EH,189.08,213.47815739369577
2022-01,11010,33370,EH,1251.32,184.766558514209
2022-01,11010,33370,WH,89.39,160.21702651303278
2022-01,11010,33380,EH,180.29999999999998,217.2804215196894
2022-01,11010,33390,EH,229.03,184.5743352399249
2022-01,11010,34011,EH,2947.16,171.64484113519455
2022-01,11010,34011,WH,782.3299999999999,173.91440952027918
2022-01,11010,34012,EH,4426.83,163.40595188882338
2022-01,11010,34012,WH,1121.51,131.79730006865742
2022-01,11010,34020,EH,583.18,203.80318255084197
2022-01,11010,34020,WH,123.7,171.44979789814067
2022-01,11010,34030,EH,589.88,241.68893673289483
2022-01,11010,34030,WH,8.79,262.3924914675768
2022-01,11010,34040,EH,3465.89,171.4592442345256
2022-01,11010,34040,WH,1288.89,110.2345273840281
2022-01,11010,34050,EH,1225.91,201.27311956016348
2022-01,11010,34050,WH,41.16,166.04033041788145
2022-01,11010,34060,EH,426.32,238.57766466504034
2022-01,11010,34060,WH,21.849999999999998,195.64942791762013
2022-01,11010,34070,EH,381.5,197.25331585845348
2022-01,11010,34070,WH,6.06,171.5
2022-01,11010,34080,EH,1433.17,183.70595951631697
2022-01,11010,34080,WH,213.41,159.67297689892695
2022-01,11010,34310,EH,207.81,257.00096241759303
2022-01,11010,34310,WH,18.54,184.6785329018339
2022-01,11010,34330,EH,381.07,222.25856141916185
2022-01,11010,34330,WH,14.2,209.04436619718314
2022-01,11010,34340,EH,262.81,275.17073170731703
2022-01,11010,34340,WH,6.56,234.49999999999997
2022-01,11010,34350,EH,157.82,211.090102648587
2022-01,11010,34360,EH,690.76,211.55816781516015
2022-01,11010,34360,WH,66.1,153.71800302571862
2022-01,11010,34370,EH,655.35,222.04531929503318
2022-01,11010,34370,WH,140.48999999999998,191.2315467293046
2022-01,11010,34380,EH,552.71,235.610157225308
2022-01,11010,35011,EH,1449.97,267.5818810044346
2022-01,11010,35011,WH,64.60000000000001,209.13529411764705
2022-01,11010,35012,EH,1108.44,255.69780953412
2022-01,11010,35012,WH,17.09,198.6781743709772
2022-01,11010,35020,EH,979.53,255.7235000459404
2022-01,11010,35020,WH,34.230000000000004,224.91557113643003
2022-01,11010,35030,EH,1079.21,223.3460123608936
2022-01,11010,35030,WH,25.09,238.3519330410522
2022-01,11010,35040,EH,179.10999999999999,249.9566746691977
2022-01,11010,35040,WH,45.31,213.69940410505404
2022-01,11010,35050,EH,198.22,306.7829684189285
2022-01,11010,35060,EH,264.96000000000004,257.93851902173907
2022-01,11010,35310,EH,211.74,241.86667611221307
2022-01,11010,35310,WH,4.92,227.6890243902439
2022-01,11010,35320,EH,41.35,383.7806529625151
2022-01,11010,35330,EH,18.939999999999998,194.6800422386484
2022-01,11010,35340,EH,87.67,281.48214896771987
2022-01,11010,35340,WH,6.49,201.96147919876734
2022-01,11010,35350,EH,65.16,303.6313689379988
2022-01,11010,35360,EH,43.67,277.5878177238379
2022-01,11010,35370,EH,170.42,260.46960450651335
2022-01,11010,35370,WH,14.08,167.0
2022-01,11010,35380,EH,69.48,257.0984455958549
2022-01,11010,36010,EH,387.09999999999997,298.3339963833635
2022-01,11010,36010,WH,14.91,235.98054996646547
2022-01,11010,36020,EH,358.62,330.1755061067425
2022-01,11010,36020,WH,16.15,258.34736842105264
2022-01,11010,36030,EH,407.65,287.18824972402797
2022-01,11010,36030,WH,11.06,259.0632911392405
2022-01,11010,36040,EH,319.06,249.14166614429888
2022-01,11010,36040,WH,16.41,188.41194393662403
2022-01,11010,36060,EH,199.09,312.4173991662062
