자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
31191,19.48,851.0,16577.48,0.437813440320963,0.13146233382570163,0.37280906632509025,39.52213967812435,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
39020,16.2,1141.6,18493.92,0.35556670010030095,0.560709010339734,0.42137388640367146,39.47899401502946,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11220,16.509999999999998,1079.8333333333333,17828.04833333333,0.36334002006018057,0.4694731659281141,0.40449992338521445,38.70500396725387,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
35012,14.79,1106.4,16363.656,0.3202106318956871,0.508714918759232,0.3673905173026933,34.98682623666415,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11030,13.82,1197.5,16549.45,0.29588766298896696,0.6432791728212703,0.37209875350193766,34.53857658544368,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11080,14.22,1072.4,15249.528000000002,0.3059177532597794,0.45849335302806515,0.33915721708744545,32.754570068389235,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11230,14.4,1006.5,14493.6,0.310431293881645,0.36115214180206795,0.32000112176885376,31.691011375641953,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
24010,11.3,1148.75,12980.875,0.2326980942828486,0.5712703101920237,0.2816669096602713,26.878207089597257,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
35011,12.68,960.0,12172.8,0.2673019057171515,0.29246676514032494,0.26118934866958043,26.529900610119427,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
39010,10.86,1120.25,12165.914999999999,0.2216649949849549,0.5291728212703102,0.2610148747563658,25.197574188016098,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36010,9.99,1100.3333333333333,10992.33,0.19984954864593785,0.4997538158542589,0.23127486496116129,22.6071337258322,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
24050,7.66,1241.3333333333333,9508.613333333333,0.1414242728184554,0.7080256031511569,0.19367575778104656,18.754424416278688,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11020,9.24,971.5,8976.66,0.18104312938816453,0.30945347119645494,0.180195441192197,18.5399450493691,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11040,7.38,1212.0,8944.56,0.13440320962888666,0.6646971935007385,0.17938198983211137,17.568256703593256,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
35310,7.75,1142.6666666666667,8855.666666666668,0.1436810431293882,0.5622845888724767,0.17712932930555245,17.52779490773147,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11150,7.88,1097.0,8644.36,0.1469408224674022,0.4948301329394387,0.1717745724396597,17.177614284966644,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
29010,6.82,1271.0,8668.220000000001,0.12036108324974928,0.7518463810930576,0.17237921260949285,16.877590505856027,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
22040,8.78,928.0,8147.839999999999,0.1695085255767302,0.24519940915805022,0.15919217775711436,16.736048623502796,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
34040,6.5,1288.5,8375.25,0.11233701103309932,0.7776957163958641,0.1649550118317894,16.229658286557857,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
